Bundle Name,Bundle URL,Price
[Inference Engineering Workshop]: The entire bundle,https://vizuara.ai/course-bundle/inference-engineering-workshop-the-entire-bundle,199750
[Inference engineering workshop]: Phase 1 + Phase 2 + Research Roadmap + Code Starter + 1:1 mentorship with Yash Dixit,https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-1-phase-2-research-roadmap-code-starter-11-mentorship-with-yash-dixit,185000
Minor in AI-GenAI-Robotics,https://vizuara.ai/course-bundle/minor-in-ai-genai-robotics,174000
[Inference Engineering Workshop]: Phase 1 + Phase 2 + 1:1 Research Mentorship - 2 months (Yash Dixit),https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-1-phase-2-11-research-mentorship-2-months-yash-dixit,170000
[Inference Engineering Workshop] Phase 1 + Phase 2 + Guest Speaker Pass + Research Roadmap + Starter Kit,https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-1-phase-2-guest-speaker-pass-research-roadmap-starter-kit,165000
Minor in GenAI + RL Research bootcamp,https://vizuara.ai/course-bundle/minor-in-genai-rl-research-bootcamp,155000
[Inference Engineering Workshop]: Phase 1 + Phase 2 + Guest Speaker Pass,https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-1-phase-2-guest-speaker-pass,150000
[Inference Engineering Workshop] Phase 2 + Research Roadmap + Startket Kit + 1:1 mentorship with Yash Dixit,https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-2-research-roadmap-startket-kit-11-mentorship-with-yash-dixit,140000
[Inference Engineering Workshop] Phase 1 + Research Roadmap + Starter Kit + 1:1 Mentorship with Yash Dixit,https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-1-research-roadmap-starter-kit-11-mentorship-with-yash-dixit,130000
[Inference Engineering Workshop]: Phase 2 + 1:1 Research Mentorship - 2 months (Yash Dixit),https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-2-11-research-mentorship-2-months-yash-dixit,125000
AI + GenAI Minors,https://vizuara.ai/course-bundle/ai-genai-minors,120000
[Inference Engineering Workshop]: Phase 1 + Phase 2 + Research Roadmap + Code Starter,https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-1-phase-2-research-roadmap-code-starter,115000
[Inference Engineering Workshop]: Phase 1 + 1:1 Research Mentorship - 2 months (Yash Dixit),https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-1-11-research-mentorship-2-months-yash-dixit,115000
[Inference Engineering Workshop]: Phase 2 + Guest Speaker Pass,https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-2-guest-speaker-pass,105000
[Inference engineering workshop]: Phase 1 + Guest Speaker pass,https://vizuara.ai/course-bundle/inference-engineering-workshop-phase-1-guest-speaker-pass,95000
Math foundations + ML + DL + GenAI fundamentals + Build GPT from scratch + RAG + Finetuning + AI Agents + Language + Reasoning + Vision,https://vizuara.ai/course-bundle/math-foundations-ml-dl-genai-fundamentals-build-gpt-from-scratch-rag-finetuning-ai-agents-language-reasoning-vision,90000
GenAI fundamentals + Build GPT from scratch + RAG + Finetuning + AI Agents + Language + Reasoning + Vision,https://vizuara.ai/course-bundle/genai-fundamentals-build-gpt-from-scratch-rag-finetuning-ai-agents-language-reasoning-vision,75000
