Course Name,Course URL,Price
,,
,,
,,
,,
,,
,,
GenAI Industry Professional Plan,https://vizuara.ai/courses/genai-industry-professional-plan,125000
SciML Bootcamp: Industry Professional Plan,https://vizuara.ai/courses/sciml-bootcamp-industry-professional-plan,120000
[Inference Engineering Workshop] Phase 1 + Phase 2 (both),https://vizuara.ai/courses/course_20006441,100000
Reinforcement Learning Research Bootcamp,https://vizuara.ai/courses/reinforcement-learning-research-bootcamp,95000
Computer Vision Research Bootcamp,https://vizuara.ai/courses/computer-vision-research-bootcamp,95000
5D Parallelism Workshop: Industry Plan,https://vizuara.ai/courses/course_20006042,95000
,,
,,
AI Context Engineering [INDUSTRY PROFESSIONAL PLAN],https://vizuara.ai/courses/ai-context-engineering-industry-professional-plan,95000
,,
VLA Models & World Models for Robotics (Researcher),https://vizuara.ai/courses/course_20006301,95000
Vision-Language-Action for Autonomous Driving [Research],https://vizuara.ai/courses/vision-language-action-for-autonomous-driving-research,95000
SciML Bootcamp: Researcher Plan,https://vizuara.ai/courses/sciml-bootcamp-researcher-plan,95000
ML-DL-Research,https://vizuara.ai/courses/ml-dl-research,95000
[Inference Engineering Workshop] 1:1 Research Mentorship - 2 months (Yash Dixit),https://vizuara.ai/courses/course_20006579,70000
,,
Minor in Robotics,https://vizuara.ai/courses/course_20005799,60000
[Inference Engineering Workshop] Phase 2 only: Production & Edge Deployment,https://vizuara.ai/courses/course_20006404,55000
[Inference Engineering Workshop] Guest Speaker Pass,https://vizuara.ai/courses/course_20006463,50000
[Inference Engineering Workshop] Phase 1 only : Foundations & Optimization,https://vizuara.ai/courses/course_20006357,45000
Student research: Working on a Review Paper,https://vizuara.ai/courses/phase-1-working-on-a-review-paper,40000
SciML Bootcamp: Community Plan,https://vizuara.ai/courses/sciml-bootcamp-community-plan,37500
5D Parallelism Workshop: Engineer Plan,https://vizuara.ai/courses/course_20006031,30000
AI Context Engineering [ENGINEER PLAN],https://vizuara.ai/courses/ai-context-engineering-engineer-plan,30000
VLA Models & World Models for Robotics (Engineer),https://vizuara.ai/courses/course_20006287,30000
Transformers for Vision and Multimodal LLMs [PRO],https://vizuara.ai/courses/transformers-for-vision-and-multimodal-llms-pro,25000
Vision-Language-Action for Autonomous Driving [PRO],https://vizuara.ai/courses/vision-language-action-for-autonomous-driving-pro,25000
,,
The Modern Software Developer,https://vizuara.ai/courses/course_20006260,25000
,,
,,
,,
,,
Modern Robot Learning from Scratch Bootcamp,https://vizuara.ai/courses/course_20005488,24999
,,
,,
,,
Build your own GPT from Scratch,https://vizuara.ai/courses/build-your-own-gpt-from-scratch,21392.62
LLM Capstone Project [July 2025 Cohort],https://vizuara.ai/courses/llm-capstone-project,21392.62
Build LLM from Scratch [July 2025 Cohort],https://vizuara.ai/courses/build-llm-from-scratch-july-2025,20000
Foundations for AI and ML [July 2025 Cohort],https://vizuara.ai/courses/foundations-for-ai-and-ml-july-2025,20000
Foundations in AI and ML,https://vizuara.ai/courses/foundations-in-ai-and-ml,20000
Generative AI Fundamentals,https://vizuara.ai/courses/generative-ai-fundamentals,20000
,,
Generative AI Fundamentals [July 2025 Cohort],https://vizuara.ai/courses/generative-ai-fundamentals-july-2025,20000
